name,description,table,visibility,required,type,notes,Stella_Comments,Pat comments,Anna comments
Society_latitude,Latitude for the location of a soceity,societies,public,TRUE,continuous,between -180 & + 180,Required should be TRUE,"Not sure, but probably agree with Stella (unless there are legitimate reasons why we might have songs/societies without this data)",Require and public
Society_longitude,Longitude for the location of a soceity,societies,public,TRUE,continuous,between -90 & + 90,Required should be TRUE,"Not sure, but probably agree with Stella (unless there are legitimate reasons why we might have songs/societies without this data)",Require and public
Area_latitude,Latitude for the macroarea affiliated with a society,societies,public,TRUE,continuous,between -180 & + 180,Required should be TRUE,"Not sure, but probably agree with Stella (unless there are legitimate reasons why we might have songs/societies without this data)",Require and public
Area_longitude,Longitude for the macroarea affiliated with a society,societies,public,TRUE,continuous,between -90 & + 90,Required should be TRUE,"Not sure, but probably agree with Stella (unless there are legitimate reasons why we might have songs/societies without this data)",Require and public
Region,"Geographic-cultural classification, created in the following hierarchy: Region/Division/Subregion/Area. Area could also be interpreted as Kingdom",societies,public,TRUE,string,,Required should be TRUE,"Not sure, but probably agree with Stella (unless there are legitimate reasons why we might have songs/societies without this data)",Require and public
Division,"Geographic-cultural classification, created in the following hierarchy: Region/Division/Subregion/Area. Area could also be interpreted as Kingdom",societies,public,TRUE,string,,Required should be TRUE,"Not sure, but probably agree with Stella (unless there are legitimate reasons why we might have songs/societies without this data)",Require and public
Subregion,"Geographic-cultural classification, created in the following hierarchy: Region/Division/Subregion/Area. Area could also be interpreted as Kingdom",societies,public,TRUE,string,,Required should be TRUE,"Not sure, but probably agree with Stella (unless there are legitimate reasons why we might have songs/societies without this data)",Require and public
Area,"Geographic-cultural classification, created in the following hierarchy: Region/Division/Subregion/Area. Area could also be interpreted as Kingdom",societies,public,TRUE,string,,Required should be TRUE,"Not sure, but probably agree with Stella (unless there are legitimate reasons why we might have songs/societies without this data)",Require and public
society,Prefered name of a culture,societies,public,TRUE,string,,,,Require and public
alternative_names,Alternative name for a culture; Ethnonyms ,societies,public,TRUE,string,,,,Require and public
People,"People:  Ethnographic Atlas, GlobalJB",societies,public,TRUE,string,,"Anna might want this to be public, check with her",Yes I think all Peoples columns were supposed to be public,Require and public
People2,Larger cultural grouping encompassing People1. Not finalized or completed yet.,societies,public,TRUE,string,,,Yes I think all Peoples columns were supposed to be public,Require and public
People3,,societies,public,TRUE,string,,,Yes I think all Peoples columns were supposed to be public,Require and public
Arensberglomax_clusters,"Categories relating to a clustering analyses performed in Lomax, A. (1989). Cantometrics. In International encyclopedia of communications (1st ed., pp. 230‰ЫТ233). New York, NY: Oxford University Press.",societies,internal,FALSE,categorical,Is there a restriced set of values? ,"Check with Anna about restrictions, I think there should be a restricted set of values but I'm not sure, and not sure what they are.",,"Internal, I think"
